sample,blank
CROP_0701,CROP_07FB
CROP_0702,CROP_07FB
CROP_0703,CROP_07FB
CROP_0704,CROP_07FB
CROP_0705,CROP_07FB
CROP_0706,CROP_07FB
CROP_0707,CROP_07FB
CROP_0708,CROP_07FB
CROP_0709,CROP_07FB
CROP_0710,CROP_07FB
CROP_0801,CROP_08FB
CROP_0802,CROP_08FB
CROP_0803,CROP_08FB
CROP_0804,CROP_08FB
CROP_0805,CROP_08FB
CROP_0806,CROP_08FB
CROP_0807,CROP_08FB
CROP_0808,CROP_08FB
CROP_0809,CROP_08FB
CROP_0810,CROP_08FB
CROP_0811,CROP_08FB
CROP_0812,CROP_08FB
CROP_0813,CROP_08FB
CROP_0814,CROP_08FB
CROP_0901,CROP_09FB
CROP_0902,CROP_09FB
CROP_0903,CROP_09FB
CROP_0904,CROP_09FB
CROP_0905,CROP_09FB
CROP_0906,CROP_09FB
CROP_0907,CROP_09FB
CROP_0908,CROP_09FB
CROP_0909,CROP_09FB
CROP_0910,CROP_09FB
CROP_1001,CROP_10FB
CROP_1002,CROP_10FB
CROP_1003,CROP_10FB
CROP_1004,CROP_10FB
CROP_1005,CROP_10FB
CROP_1006,CROP_10FB
CROP_1007,CROP_10FB
CROP_1008,CROP_10FB
CROP_1009,CROP_10FB
CROP_1010,CROP_10FB
CROP_1101,CROP_11FB
CROP_1102,CROP_11FB
CROP_1103,CROP_11FB
CROP_1104,CROP_11FB
CROP_1105,CROP_11FB
CROP_1106,CROP_11FB
CROP_1107,CROP_11FB
CROP_1108,CROP_11FB
CROP_1109,CROP_11FB
CROP_1110,CROP_11FB
CROP_1111,CROP_11FB
CROP_1112,CROP_11FB
CROP_1113,CROP_11FB
CROP_1114,CROP_11FB
CROP_1201,CROP_12FB
CROP_1202,CROP_12FB
CROP_1203,CROP_12FB
CROP_1204,CROP_12FB
CROP_1205,CROP_12FB
CROP_1206,CROP_12FB
CROP_1207,CROP_12FB
CROP_1208,CROP_12FB
CROP_1209,CROP_12FB
CROP_1210,CROP_12FB
CROP_1301,CROP_13FB
CROP_1302,CROP_13FB
CROP_1303,CROP_13FB
CROP_1304,CROP_13FB
CROP_1305,CROP_13FB
CROP_1306,CROP_13FB
CROP_1307,CROP_13FB
CROP_1308,CROP_13FB
CROP_1309,CROP_13FB
CROP_1310,CROP_13FB
CROP_0101,NEG01
CROP_0102,NEG01
CROP_0103,NEG01
CROP_0104,NEG01
CROP_0105,NEG01
CROP_0106,NEG01
CROP_0107,NEG01
CROP_0108,NEG01
CROP_0109,NEG01
CROP_0110,NEG01
CROP_0201,NEG01
CROP_0202,NEG01
CROP_0203,NEG01
CROP_0204,NEG01
CROP_0205,NEG05
CROP_0206,NEG05
CROP_0207,NEG01
CROP_0208,NEG01
CROP_0209,NEG01
CROP_0210,NEG01
CROP_0211,NEG05
CROP_0212,NEG05
CROP_0213,NEG05
CROP_0214,NEG05
CROP_0301,NEG02
CROP_0302,NEG02
CROP_0303,NEG02
CROP_0304,NEG02
CROP_0305,NEG02
CROP_0306,NEG02
CROP_0307,NEG02
CROP_0308,NEG02
CROP_0309,NEG02
CROP_0310,NEG02
CROP_0401,NEG02
CROP_0402,NEG02
CROP_0403,NEG02
CROP_0404,NEG02
CROP_0405,NEG10
CROP_0406,NEG10
CROP_0407,NEG02
CROP_0408,NEG02
CROP_0409,NEG02
CROP_0410,NEG02
CROP_0501,NEG05
CROP_0502,NEG05
CROP_0503,NEG05
CROP_0504,NEG05
CROP_0505,NEG05
CROP_0506,NEG05
CROP_0507,NEG05
CROP_0508,NEG05
CROP_0509,NEG05
CROP_0510,NEG05
CROP_0511,NEG05
CROP_0512,NEG05
CROP_0514,NEG05
CROP_0601,NEG03
CROP_0602,NEG03
CROP_0603,NEG03
CROP_0604,NEG03
CROP_0605,NEG03
CROP_0606,NEG03
CROP_0607,NEG03
CROP_0608,NEG03
CROP_0609,NEG03
CROP_0610,NEG03
CROP_0701,NEG03
CROP_0702,NEG03
CROP_0703,NEG03
CROP_0704,NEG03
CROP_0705,NEG10
CROP_0706,NEG10
CROP_0707,NEG03
CROP_0708,NEG03
CROP_0709,NEG03
CROP_0710,NEG03
CROP_0801,NEG06
CROP_0802,NEG06
CROP_0803,NEG06
CROP_0804,NEG06
CROP_0805,NEG06
CROP_0806,NEG06
CROP_0807,NEG06
CROP_0808,NEG06
CROP_0809,NEG06
CROP_0810,NEG06
CROP_0811,NEG06
CROP_0812,NEG06
CROP_0813,NEG06
CROP_0814,NEG06
CROP_0901,NEG08
CROP_0902,NEG08
CROP_0903,NEG08
CROP_0904,NEG08
CROP_0905,NEG08
CROP_0906,NEG08
CROP_0907,NEG08
CROP_0908,NEG08
CROP_0909,NEG08
CROP_0910,NEG08
CROP_1001,NEG04
CROP_1002,NEG04
CROP_1003,NEG04
CROP_1004,NEG04
CROP_1005,NEG04
CROP_1006,NEG04
CROP_1007,NEG04
CROP_1008,NEG04
CROP_1009,NEG04
CROP_1010,NEG04
CROP_1101,NEG06
CROP_1102,NEG06
CROP_1103,NEG06
CROP_1104,NEG06
CROP_1105,NEG06
CROP_1106,NEG06
CROP_1107,NEG07
CROP_1108,NEG07
CROP_1109,NEG07
CROP_1110,NEG07
CROP_1111,NEG07
CROP_1112,NEG07
CROP_1113,NEG07
CROP_1114,NEG07
CROP_1201,NEG04
CROP_1202,NEG04
CROP_1203,NEG04
CROP_1204,NEG04
CROP_1205,NEG10
CROP_1206,NEG10
CROP_1207,NEG04
CROP_1208,NEG04
CROP_1209,NEG04
CROP_1210,NEG04
CROP_1301,NEG07
CROP_1302,NEG07
CROP_1303,NEG07
CROP_1304,NEG07
CROP_1305,NEG07
CROP_1306,NEG07
CROP_1307,NEG07
CROP_1308,NEG07
CROP_1309,NEG07
CROP_1310,NEG07
CROP_0101,POS01
CROP_0102,POS01
CROP_0103,POS01
CROP_0104,POS01
CROP_0105,POS01
CROP_0106,POS01
CROP_0107,POS01
CROP_0108,POS01
CROP_0109,POS01
CROP_0110,POS01
CROP_0201,POS01
CROP_0202,POS01
CROP_0203,POS01
CROP_0204,POS01
CROP_0205,POS05
CROP_0206,POS05
CROP_0207,POS01
CROP_0208,POS01
CROP_0209,POS01
CROP_0210,POS01
CROP_0211,POS05
CROP_0212,POS05
CROP_0213,POS05
CROP_0214,POS05
CROP_0301,POS02
CROP_0302,POS02
CROP_0303,POS02
CROP_0304,POS02
CROP_0305,POS02
CROP_0306,POS02
CROP_0307,POS02
CROP_0308,POS02
CROP_0309,POS02
CROP_0310,POS02
CROP_0401,POS02
CROP_0402,POS02
CROP_0403,POS02
CROP_0404,POS02
CROP_0405,POS10
CROP_0406,POS10
CROP_0407,POS02
CROP_0408,POS02
CROP_0409,POS02
CROP_0410,POS02
CROP_0501,POS05
CROP_0502,POS05
CROP_0503,POS05
CROP_0504,POS05
CROP_0505,POS05
CROP_0506,POS05
CROP_0507,POS05
CROP_0508,POS05
CROP_0509,POS05
CROP_0510,POS05
CROP_0511,POS05
CROP_0512,POS05
CROP_0514,POS05
CROP_0601,POS03
CROP_0602,POS03
CROP_0603,POS03
CROP_0604,POS03
CROP_0605,POS03
CROP_0606,POS03
CROP_0607,POS03
CROP_0608,POS03
CROP_0609,POS03
CROP_0610,POS03
CROP_0701,POS03
CROP_0702,POS03
CROP_0703,POS03
CROP_0704,POS03
CROP_0705,POS10
CROP_0706,POS10
CROP_0707,POS03
CROP_0708,POS03
