"","CROP_0101","CROP_0102","CROP_0103","CROP_0104","CROP_0105","CROP_0106","CROP_0107","CROP_0108","CROP_0109","CROP_0110","CROP_0201","CROP_0202","CROP_0203","CROP_0204","CROP_0205","CROP_0206","CROP_0207","CROP_0208","CROP_0209","CROP_0210","CROP_0211","CROP_0212","CROP_0213","CROP_0214","CROP_0301","CROP_0302","CROP_0303","CROP_0304","CROP_0305","CROP_0306","CROP_0307","CROP_0308","CROP_0309","CROP_0310","CROP_0401","CROP_0402","CROP_0403","CROP_0404","CROP_0405","CROP_0406","CROP_0407","CROP_0408","CROP_0409","CROP_0410","CROP_0501","CROP_0502","CROP_0503","CROP_0504","CROP_0505","CROP_0506","CROP_0507","CROP_0508","CROP_0509","CROP_0510","CROP_0511","CROP_0512","CROP_0514","CROP_0601","CROP_0602","CROP_0603","CROP_0604","CROP_0605","CROP_0606","CROP_0607","CROP_0608","CROP_0609","CROP_0610","CROP_0701","CROP_0702","CROP_0703","CROP_0704","CROP_0705","CROP_0706","CROP_0707","CROP_0708","CROP_0709","CROP_0710","CROP_0801","CROP_0802","CROP_0803","CROP_0804","CROP_0805","CROP_0806","CROP_0807","CROP_0808","CROP_0809","CROP_0810","CROP_0811","CROP_0812","CROP_0813","CROP_0814","CROP_0901","CROP_0902","CROP_0903","CROP_0904","CROP_0905","CROP_0906","CROP_0907","CROP_0908","CROP_0909","CROP_0910","CROP_1001","CROP_1002","CROP_1003","CROP_1004","CROP_1005","CROP_1006","CROP_1007","CROP_1008","CROP_1009","CROP_1010","CROP_1101","CROP_1102","CROP_1103","CROP_1104","CROP_1105","CROP_1106","CROP_1107","CROP_1108","CROP_1109","CROP_1110","CROP_1111","CROP_1112","CROP_1113","CROP_1114","CROP_1201","CROP_1202","CROP_1203","CROP_1204","CROP_1205","CROP_1206","CROP_1207","CROP_1208","CROP_1209","CROP_1210","CROP_1301","CROP_1302","CROP_1303","CROP_1304","CROP_1305","CROP_1306","CROP_1307","CROP_1308","CROP_1309","CROP_1310","NEG09","NEG11","POS09","POS11","taxonomy"
"Anguilla_anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Astatotilapia_calliptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450570,NA
"Cobitis_taenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,NA
"Cyprinus_carpio",0,0,0,77,0,0,0,0,0,0,0,0,162,50,0,0,0,0,0,0,0,0,0,0,625,5323,0,828,273,431,494,683,415,482,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,874,0,0,0,255,0,0,692,0,557,0,636,122,280,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,208,0,260,0,0,0,310,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Pimephales_promelas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1556,NA
"Tinca_tinca",410,76,229,0,203,541,239,304,551,375,1551,506,3332,519,1944,2738,1385,644,2390,2373,1243,2336,996,938,1696,1918,1795,4043,2229,1208,1068,1292,874,743,965,416,351,550,555,773,887,461,927,215,0,175,227,0,324,122,196,822,207,684,628,215,0,0,0,365,441,624,0,0,489,271,857,273,1187,171,475,2054,0,165,575,300,241,167,146,1711,0,573,816,1278,454,463,653,523,642,0,0,2793,1218,6693,3375,3715,2896,3370,2773,2594,2865,1148,958,4742,2635,4563,3596,3641,4130,2211,2850,1052,313,8801,2358,2184,1170,5431,6223,3265,3431,2861,1564,2541,758,1067,1205,7612,1314,2367,4888,1197,1356,3375,1479,0,0,2290,0,1430,521,1684,179,3537,321,0,0,0,0,NA
"Cottus_gobio",0,0,0,270,469,737,248,475,576,764,442,270,0,248,656,788,422,358,2016,601,1311,3389,2690,1890,15068,15121,0,16600,13271,9725,6600,8052,13475,17456,10922,16766,362,8592,15210,10425,15505,7747,14718,2273,7389,3736,639,9426,7317,6228,12360,19102,11991,9031,7719,12329,11913,4759,8821,776,5820,6384,7664,8734,8130,4385,5866,9020,8637,427,3644,6886,1071,3105,1924,2780,6189,5106,10525,773,3800,10446,16114,11584,1741,3823,7111,6181,25865,41705,9639,4416,15432,533,2166,4927,8131,4009,5599,724,1959,2097,6017,441,824,1330,3543,3503,2277,1870,1808,1474,2474,0,1328,944,2815,4146,2440,1663,1937,2375,2468,5239,7203,652,981,0,326,3704,1290,510,227,1333,650,2389,11151,0,5515,20077,11214,4962,2611,3057,2771,0,0,0,0,NA
"Gasterosteus_aculeatus",311,69,4483,2215,3227,2375,4121,4833,6213,5723,3900,1178,19233,2695,3742,7575,9780,2646,13280,5860,12596,11977,4957,3132,8260,2214,30514,11936,14710,6810,17310,8628,9909,13797,6543,1594,24308,5195,21462,18140,12728,8738,14134,15182,1294,1642,7359,1678,5302,5063,7506,8322,5970,8122,5398,3805,133,4347,1228,15787,1515,3762,4549,4356,4118,3445,3902,3803,203,23943,4871,26732,15019,8921,5733,10698,9146,8533,0,34781,11366,27422,16007,11451,4313,42292,17836,27912,2493,373,0,55966,1616,59398,58273,56501,42778,69623,42565,43098,36213,27870,2215,29691,44589,36435,32456,35247,32286,29381,32365,33494,1712,49282,22484,22293,37719,44225,37431,28655,31035,31572,19327,18460,8785,2628,364,25927,7708,20096,25488,14432,7356,13373,10419,11271,94,88852,19111,32294,6350,43759,14761,42821,25864,0,0,0,0,NA
"Oncorhynchus_mykiss",0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Salmo_trutta",596,337,697,993,960,926,2805,889,1332,1628,1682,1018,496,285,3229,3191,2030,1206,3236,1597,3766,2442,2733,1774,7939,10738,1300,7184,4308,3102,4206,3786,4164,4205,11101,6880,0,9880,5512,3691,6867,4363,7945,1987,10071,9338,1765,8205,7159,5510,6667,9081,8311,7080,3441,4608,3051,8045,15565,1632,13809,8084,7095,8734,9117,4372,5852,9650,10964,1168,8574,17127,5687,3908,6372,7428,5191,17759,11706,2761,13845,13678,11954,11252,1562,3859,3796,14941,23518,48042,7279,13560,17955,567,8159,9808,9172,3628,3484,2646,1444,9935,15085,2174,4409,7359,8607,6256,4963,4531,5908,14617,8349,5229,21886,7805,15827,13464,14363,10493,12769,8254,20427,31317,45742,3593,2896,8753,22692,7681,11129,2351,1788,4203,4352,5827,18320,286,14158,24020,5192,6013,4521,4310,3907,0,0,0,0,NA
"Bufo_bufo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,8199,8557,1875,8367,4985,2976,1294,3372,4434,2366,3213,3496,3701,4129,16012,9793,5156,3309,3798,18484,157,0,590,0,490,566,335,1332,265,449,1606,2032,0,183,362,2216,0,599,362,504,370,259,202,293,204,0,285,225,571,185,322,140,0,5072,33037,0,322,0,0,0,0,0,0,2657,0,1135,0,0,267,0,211,0,0,345,0,0,0,862,0,463,0,167,152,0,216,0,0,0,0,895,0,0,295,0,176,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,5795,8116,0,8621,2244,1111,788,1652,1161,603,0,0,0,0,NA
"Rana_temporaria",332,492,0,920,1995,1476,813,287,663,123,432,0,1117,202,0,483,403,0,489,535,860,946,852,1413,35580,31201,42694,49655,40927,22376,18820,21258,22358,15749,4877,3297,45842,7210,65070,52254,21880,9922,16868,24101,3281,2709,18403,1102,6300,5049,6246,9533,9145,11948,17564,14447,687,1076,0,4316,944,3501,724,1765,1664,1611,2183,296,0,780,0,0,0,331,0,0,1011,0,205,294,0,0,0,762,0,469,0,0,0,0,0,629,432,446,575,767,503,785,323,328,0,2317,704,346,2600,6768,10261,6764,5088,3229,3905,1735,992,950,9257,967,2198,1188,2060,1215,1074,1933,630,2590,635,1250,401,2527,565,2841,392,597,1879,1745,970,0,0,0,373,0,0,0,0,0,0,0,0,0,0,NA
"Lissotriton_helveticus",0,0,0,0,35,0,0,0,0,0,254,58,1445,105,322,623,183,292,537,287,453,710,1028,379,483,334,12966,2061,2563,1299,847,1079,2026,1444,344,247,4680,517,7939,5940,4146,2176,1820,1659,300,0,3382,300,1670,1218,1231,1471,1923,1508,873,1687,121,524,301,3754,0,1336,829,1209,939,521,1446,133,0,94,127,2273,681,387,417,699,360,393,153,0,0,587,496,0,0,0,742,0,0,0,0,774,761,0,636,112,132,199,0,0,0,169,353,0,0,0,119,234,463,110,151,0,0,485,0,0,311,605,215,160,230,0,351,479,0,0,0,0,0,0,225,122,141,0,0,0,0,0,255,217,0,0,0,0,0,0,0,0,0,NA
"Lissotriton_vulgaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Accipiter_gentilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Buteo_buteo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,NA
"Aix_galericulata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Anas_carolinensis",30,0,0,76,70,155,0,82,113,0,85,46,0,0,0,350,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,691,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,2235,875,0,361,897,736,512,0,496,794,1048,1760,0,1651,0,1680,0,1162,1635,1289,1160,625,0,315,1290,0,1002,757,2005,0,832,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Gallinago_gallinago",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Scolopax_rusticola",0,0,0,0,0,0,0,0,0,0,0,47,0,53,0,273,49,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,503,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1078,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Columba_livia",0,0,0,0,0,0,0,0,0,0,192,143,0,0,0,0,0,36,0,0,231,86,156,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,373,0,1558,616,0,0,0,203,151,0,0,0,0,101,0,0,0,0,0,0,0,0,NA
"Columba_oenas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Alcedo_atthis",0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Alectoris_rufa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,2842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18266,301,0,965,0,0,325,152,105,612,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Perdix_perdix",0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Phasianus_colchicus",1604,1786,590,3624,3560,4509,5247,6192,8832,7858,9325,5538,12006,4240,14466,10727,8300,7069,14351,8241,14258,18203,10909,16794,2223,1940,203,1612,1139,536,755,542,1428,645,13733,9680,263,10040,6282,2450,5281,1601,2314,685,1700,3403,0,333,785,0,0,0,111,143,0,914,302,374,1769,285,331,0,326,0,419,100,0,22033,19006,833,13252,21920,18783,24736,18217,20818,6406,2391,5067,2699,731,936,0,0,0,0,0,0,296,0,0,12447,32158,488,5719,5027,5657,4277,2472,2384,2775,16243,29364,3963,4994,7617,8345,4594,3916,3330,3310,9123,6151,2116,11173,2754,7825,6828,8795,6426,4056,5617,2064,3957,21899,77836,20891,6292,7318,14081,19819,4144,5518,7257,5213,4674,15561,0,9573,7142,957,563,119,0,503,0,0,0,0,NA
"Gallinula_chloropus",0,0,13,0,0,0,43,0,0,0,0,44,0,0,231,0,0,0,86,0,0,457,72,0,273,0,0,334,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,200,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Aegithalos_caudatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Troglodytes_troglodytes",0,0,0,0,118,72,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,57,81,0,0,398,344,0,560,755,875,402,0,0,170,0,0,0,0,0,0,0,0,0,360,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Garrulus_glandarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,NA
"Pica_pica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Plectrophenax_nivalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,81,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Muscicapa_striata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Parus_major",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Sitta_europaea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Erithacus_rubecula",0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,199,0,94,3501,2522,374,2427,1305,672,802,370,613,435,0,109,123,0,137,0,310,0,330,0,0,187,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,585,0,0,0,0,0,0,0,0,0,0,NA
"Turdus_philomelos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,1010,143,0,51,46,78,0,0,167,0,0,0,0,0,0,210,0,1239,0,0,381,106,0,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,869,0,0,251,238,97,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,92,0,0,508,0,490,982,0,0,0,0,0,0,NA
"Ardea_cinerea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1737,275,127,0,74,147,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Dendrocopos_major",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,NA
