"","CROP_0101","CROP_0102","CROP_0103","CROP_0104","CROP_0105","CROP_0106","CROP_0107","CROP_0108","CROP_0109","CROP_0110","CROP_0201","CROP_0202","CROP_0203","CROP_0204","CROP_0205","CROP_0206","CROP_0207","CROP_0208","CROP_0209","CROP_0210","CROP_0211","CROP_0212","CROP_0213","CROP_0214","CROP_0301","CROP_0302","CROP_0303","CROP_0304","CROP_0305","CROP_0306","CROP_0307","CROP_0308","CROP_0309","CROP_0310","CROP_0401","CROP_0402","CROP_0403","CROP_0404","CROP_0405","CROP_0406","CROP_0407","CROP_0408","CROP_0409","CROP_0410","CROP_0501","CROP_0502","CROP_0503","CROP_0504","CROP_0505","CROP_0506","CROP_0507","CROP_0508","CROP_0509","CROP_0510","CROP_0511","CROP_0512","CROP_0514","CROP_0601","CROP_0602","CROP_0603","CROP_0604","CROP_0605","CROP_0606","CROP_0607","CROP_0608","CROP_0609","CROP_0610","CROP_0701","CROP_0702","CROP_0703","CROP_0704","CROP_0705","CROP_0706","CROP_0707","CROP_0708","CROP_0709","CROP_0710","CROP_0801","CROP_0802","CROP_0803","CROP_0804","CROP_0805","CROP_0806","CROP_0807","CROP_0808","CROP_0809","CROP_0810","CROP_0811","CROP_0812","CROP_0813","CROP_0814","CROP_0901","CROP_0902","CROP_0903","CROP_0904","CROP_0905","CROP_0906","CROP_0907","CROP_0908","CROP_0909","CROP_0910","CROP_1001","CROP_1002","CROP_1003","CROP_1004","CROP_1005","CROP_1006","CROP_1007","CROP_1008","CROP_1009","CROP_1010","CROP_1101","CROP_1102","CROP_1103","CROP_1104","CROP_1105","CROP_1106","CROP_1107","CROP_1108","CROP_1109","CROP_1110","CROP_1111","CROP_1112","CROP_1113","CROP_1114","CROP_1201","CROP_1202","CROP_1203","CROP_1204","CROP_1205","CROP_1206","CROP_1207","CROP_1208","CROP_1209","CROP_1210","CROP_1301","CROP_1302","CROP_1303","CROP_1304","CROP_1305","CROP_1306","CROP_1307","CROP_1308","CROP_1309","CROP_1310","NEG09","NEG11","POS09","POS11","taxonomy"
"Sorex_minutus",0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Talpa_europaea",0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,234,0,0,0,179,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Oryctolagus_cuniculus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,4599,3583,110,14726,4358,6038,4607,4524,7378,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Equus_caballus",0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Homo_sapiens",19600,20885,0,17045,15773,11005,10736,9647,18566,15284,20753,19086,0,6670,24427,29605,12534,11792,18769,17122,8861,0,0,0,6460,7569,0,0,0,0,0,0,8952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9514,0,0,0,6815,0,0,0,0,0,0,0,0,0,0,0,0,12488,0,0,0,0,0,0,0,8602,0,7755,0,0,0,0,0,0,0,0,6359,9359,0,8138,0,7712,9176,0,0,0,37623,12833,0,0,29572,43055,35852,14988,36241,29643,17105,20000,25368,20438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Castor_fiber",0,0,105,380,533,1133,1076,1512,2511,3257,142,0,832,106,794,528,898,193,2147,581,995,3254,1326,1955,0,0,7496,1620,6872,4408,4049,4937,8083,3712,736,0,411,5044,10054,4614,13417,6254,16534,3048,0,123,556,445,1281,611,2642,4534,2290,2766,3694,1560,130,0,283,2906,0,2447,1856,5585,4408,5967,6635,1323,0,873,707,7636,265,2008,1320,4004,6274,17197,0,9917,7145,9621,10390,17208,2593,10340,6625,7550,186,317,0,20331,0,326,5813,4084,4445,8023,4404,5240,7145,4863,0,302,1984,5217,10781,10301,10903,8209,19439,271,0,624,1508,2579,3993,2074,13040,7755,7475,10992,1848,4917,2241,0,0,3276,0,613,2045,927,802,2736,2119,4593,0,387,2654,7599,7383,58059,6217,5347,8310,0,0,0,0,NA
"Microtus_agrestis",0,0,0,0,0,43,0,0,49,83,0,0,0,24,118,1002,41,34,0,86,122,168,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,305,0,0,0,0,0,0,0,0,0,0,0,0,142,0,138,0,69,0,0,307,252,86,0,0,119,212,161,0,111,100,88,0,0,0,318,0,425,241,0,0,0,263,0,439,382,0,0,468,540,512,374,290,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Myodes_glareolus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,57,0,0,78,0,148,0,0,0,0,0,279,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,134,307,0,0,0,208,0,186,0,0,0,0,0,0,0,0,261,287,414,0,322,139,745,243,441,335,0,150,437,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Rattus_norvegicus",267,96,94,276,337,264,74,294,554,324,175,131,0,106,329,521,242,71,278,247,279,1542,775,634,622,1072,0,1543,646,463,267,106,562,144,690,1100,0,390,309,0,180,146,163,0,590,489,60,184,186,326,60,0,0,78,0,0,0,1650,1403,425,1579,1132,715,1514,920,1108,1226,0,0,48,0,0,0,0,0,0,0,0,0,813,0,0,0,0,0,0,0,0,0,0,0,1121,1939,0,465,634,328,0,413,837,189,291,947,116,474,385,594,455,0,92,0,136,455,303,2442,573,1788,2976,1932,2141,1124,217,802,721,0,6087,2118,260,658,459,4008,989,893,1531,199,0,112,0,0,0,307,0,0,0,0,0,0,0,0,NA
"Sciurus_carolinensis",0,91,0,182,76,107,96,0,63,100,170,118,0,25,0,171,85,82,489,57,0,221,81,163,0,275,0,200,225,0,0,0,197,0,1220,1434,0,0,751,496,356,834,371,76,427,234,0,289,172,263,0,0,0,0,48,0,0,426,947,57,223,818,457,1038,277,54,70,170,219,221,130,218,0,77,42,0,0,119,240,244,167,0,0,0,0,0,0,0,0,0,0,3793,3108,191,600,684,0,337,0,109,0,1920,4741,0,179,941,221,556,238,75,295,865,0,0,529,744,1188,187,514,251,461,232,233,889,209,376,450,1518,291,4440,830,438,663,1256,249,121,188,0,0,0,51,178,0,0,0,0,0,0,0,NA
